sku;colors;sizes;price;description
JKT0001;navy,red;M,XS,S;262.73;Urban explorer jacket crafted from water-resistant nylon, lightweight and durable. Features adjustable cuffs, hidden pockets, and breathable mesh lining. Ideal for commuting in unpredictable weather.
JKT0002;white,beige,grey;L,XL,XS,M;289.72;Heritage wool-blend jacket with quilted lining. Warmth without bulk, perfect for evening walks in autumn and winter. Classic cut with a modern finish.
JKT0003;brown,navy,blue,white;M,XS,XL;296.96;Minimalist softshell jacket with 4-way stretch. Designed for layering, providing comfort and flexibility. Key features: windproof, breathable, and packable.
JKT0004;white,green,beige;XS,S,L,XL,M;66.93;Classic bomber jacket with ribbed hems and cuffs. Made with recycled polyester shell and insulated with eco-down fill. Perfect for transitional weather.
JKT0005;navy,red,black;XXL,XS,XL,L,M,S;218.44;Performance ski jacket with waterproof zippers, detachable hood, and powder skirt. High breathability (10,000 g/m²/24h) and waterproof rating (15,000 mm).
JKT0006;yellow,brown;L,XXL,XS,XL;284.5;Quilted puffer jacket filled with responsibly sourced down. Lightweight yet warm, designed for cold city winters. Water-repellent finish and inner chest pocket.
JKT0007;red,brown;XL,XXL,L,M;80.58;Vintage-inspired denim jacket with sherpa lining. Rugged look with comfort for chilly days. Durable hardware and reinforced seams.
JKT0008;red,brown;S,M,XL,XXL,XS;50.78;Travel-ready parka with multiple compartments and detachable liner. Engineered for long journeys, combining functionality and timeless design.
JKT0009;black,brown,red,green;M,S,XL,XS,XXL,L;170.25;Sporty windbreaker jacket in quick-dry fabric. Reflective details for night visibility, compact enough to fit into its own pocket.
JKT0010;grey,blue;L,XS,M,S,XXL;259.81;Field jacket with waxed cotton finish, heritage-inspired. Weather-resistant with roomy cargo pockets, designed for outdoor adventures.
JKT0011;navy,yellow,white,blue;XS,L,S,XXL;153.96;Luxury leather jacket with minimalist silhouette. Crafted from supple full-grain leather, lined with satin for a refined touch.
JKT0012;white,blue,grey;M,S,XS,XL,XXL;84.44;Eco-friendly rain jacket made from recycled polyester. Fully seam-sealed with adjustable hood, lightweight for year-round use.
