sku,color,size,price,description
1,magenta,XS,24.75,"Harbor Threads lightweight jacket made from cotton-polyester blend (60/40) (140 GSM), tapered silhouette. Key features: windproof membrane, recycled trims and labels, high breathability (8,000 g/m²/24h). Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
2,black,XS,69.29,"Cobalt Labs t-shirt made from bamboo viscose blend (180 GSM), relaxed fit. Key features: recycled trims and labels, drop-tail hem for cycling, quick-dry fabric. Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
3,chocolate,XS,193.53,"Echo Athletics sweatshirt made from merino wool (18.5 microns) (140 GSM), relaxed fit. Key features: anti-odor treatment, flatlock seams to reduce chafing, windproof membrane. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
4,yellow,M,157.86,"Aurora Collective quarter-zip made from organic cotton (180 GSM), athletic fit. Key features: high breathability (8,000 g/m²/24h), recycled trims and labels, brushed interior for warmth. Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
5,purple,S,181.05,"Aurora Threads pullover made from organic cotton (160 GSM), relaxed fit. Key features: windproof membrane, YKK zipper, moisture-wicking knit. Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
6,yellow,M,67.19,"Harbor Apparel base layer top made from rayon-modal mix (180 GSM), relaxed fit. Key features: recycled trims and labels, quick-dry fabric, 4-way stretch. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
7,magenta,XXL,147.1,"Quartz Wear lightweight jacket made from 100% cotton jersey (240 GSM), slim fit. Key features: YKK zipper, moisture-wicking knit, high breathability (8,000 g/m²/24h). Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: machine wash at 30°C, do not bleach."
8,burnt orange,S,169.75,"Vivid Collective softshell jacket made from merino wool (18.5 microns) (200 GSM), relaxed fit. Key features: quick-dry fabric, recycled trims and labels, reinforced shoulder panels. Designed for transitional seasons. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
9,silver,XL,110.86,"Solace Supply quarter-zip made from softshell (polyester + elastane) (240 GSM), regular fit. Key features: fully waterproof shell (10,000 mm), windproof membrane, UPF 50+ sun protection. Designed for trail running. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
10,olive,XL,33.61,"Vivid Labs polo shirt made from bamboo viscose blend (180 GSM), slim fit. Key features: recycled trims and labels, water-repellent DWR finish (PFC-free), windproof membrane. Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
11,brown,XXL,97.24,"Falcon Athletics softshell jacket made from softshell (polyester + elastane) (240 GSM), regular fit. Key features: moisture-wicking knit, packable design fits into pocket, 4-way stretch. Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
12,orange,XXL,135.76,"Momentum Supply sweatshirt made from lyocell (TENCEL) blend (200 GSM), relaxed fit. Key features: recycled trims and labels, packable design fits into pocket, water-repellent DWR finish (PFC-free). Designed for cycling to work. Soft handfeel, durable stitching, and true-to-size. Care: do not tumble dry, dry flat."
13,black,XS,232.69,"Falcon Threads t-shirt made from polyester microfiber (160 GSM), oversized cut. Key features: high breathability (8,000 g/m²/24h), elasticated cuffs and hem, reflective detailing for visibility. Designed for light rain days. Soft handfeel, durable stitching, and true-to-size. Care: machine wash cold, tumble dry low."
14,royal blue,XXL,128.31,"Summit Supply pullover made from bamboo viscose blend (240 GSM), oversized cut. Key features: drop-tail hem for cycling, anti-odor treatment, recycled trims and labels. Designed for hiking and travel. Soft handfeel, durable stitching, and true-to-size. Care: close zippers before washing."
15,orange,L,247.88,"Mono Collective quarter-zip made from softshell (polyester + elastane) (220 GSM), regular fit. Key features: quick-dry fabric, elasticated cuffs and hem, high breathability (8,000 g/m²/24h). Designed for urban commuting. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
16,teal,S,154.34,"Nimbus Apparel windbreaker made from rayon-modal mix (220 GSM), regular fit. Key features: quick-dry fabric, high breathability (8,000 g/m²/24h), fully waterproof shell (10,000 mm). Designed for casual everyday wear. Soft handfeel, durable stitching, and true-to-size. Care: wash with like colors, line dry."
17,crimson,M,172.86,"Momentum Studio softshell jacket made from tech fleece (polyester) (160 GSM), oversized cut. Key features: reinforced shoulder panels, reflective detailing for visibility, quick-dry fabric. Designed for weekend outings. Soft handfeel, durable stitching, and true-to-size. Care: gentle cycle, do not iron print."
